year,rank,song,singer,urls,top_predicted_genre,second_predicted_genre,third_predicted_genre
1973,1,Tie a Yellow Ribbon Round the Ole Oak Tree,Tony Orlando and Dawn,https://www.youtube.com/watch?v=PxG9XFqHSFw,Rock,Classical,Jazz
1973,2,"Bad, Bad Leroy Brown",Jim Croce,https://www.youtube.com/watch?v=ALUgmzI0v3I,Rock,Pop,Folk
1973,3,Killing Me Softly with His Song,Roberta Flack,https://www.youtube.com/watch?v=DEbi_YjpA-Y,Jazz,Rock,Pop
1973,4,Let's Get It On,Marvin Gaye,https://www.youtube.com/watch?v=x6QZn9xiuOE,Pop,Rock,Folk
1973,5,My Love,Paul McCartney & Wings,https://www.youtube.com/watch?v=FszrwclD_-Q,Jazz,Classical,Instrumental
1973,6,Why Me,Kris Kristofferson,https://www.youtube.com/watch?v=DgDs_JE4Qcg,Classical,Rock,Jazz
1973,7,Crocodile Rock,Elton John,https://www.youtube.com/watch?v=-8PiA0FAYBI,Instrumental,Electronic,Rock
1973,8,Will It Go Round in Circles,Billy Preston,https://www.youtube.com/watch?v=I_e-RQZVwxg,Rock,Folk,Pop
1973,9,You're So Vain,Carly Simon,https://www.youtube.com/watch?v=mQZmCJUSC6g,Rock,Folk,Pop
1973,10,Touch Me in the Morning,Diana Ross,https://www.youtube.com/watch?v=6rQ-p0WnGd8,Rock,Jazz,Blues
1973,11,The Night the Lights Went Out in Georgia,Vicki Lawrence,https://www.youtube.com/watch?v=K-qK7oVXVRQ,Jazz,Spoken,Pop
1973,12,Playground in My Mind,Clint Holmes,https://www.youtube.com/watch?v=Q2xgm03xx2U,Pop,Spoken,Jazz
1973,13,Brother Louie,Stories,https://www.youtube.com/watch?v=jidMaFbmaok,Jazz,Rock,Pop
1973,14,Delta Dawn,Helen Reddy,https://www.youtube.com/watch?v=plXod6zVyIo,Spoken,Pop,Jazz
1973,15,Me and Mrs. Jones,Billy Paul,https://www.youtube.com/watch?v=uXLEd1R1uKk,Rock,Spoken,Pop
1973,16,Frankenstein,The Edgar Winter Group,https://www.youtube.com/watch?v=P8f-Qb-bwlU,Pop,Rock,Jazz
1973,17,Drift Away,Dobie Gray,https://www.youtube.com/watch?v=NIuyDWzctgY,Rock,Pop,Jazz
1973,18,Little Willy,Sweet,https://www.youtube.com/watch?v=NM6I-pmV0RA,Rock,Pop,Folk
1973,19,You Are the Sunshine of My Life,Stevie Wonder,https://www.youtube.com/watch?v=F8PGHi4TJQM,Jazz,Instrumental,Rock
1973,20,Half-Breed,Cher,https://www.youtube.com/watch?v=t9xTXZwnJUk,Spoken,Electronic,Pop
1973,21,That Lady,The Isley Brothers,https://www.youtube.com/watch?v=nHp4Nk7fS0k,Jazz,Pop,Rock
1973,22,Pillow Talk,Sylvia Robinson,https://www.youtube.com/watch?v=NA2X1040_gY,Rock,Electronic,Pop
1973,23,We're an American Band,Grand Funk Railroad,https://www.youtube.com/watch?v=QxNXFNCTr2I,Rock,Pop,Instrumental
1973,24,Right Place Wrong Time,Dr. John,https://www.youtube.com/watch?v=G5zPqgQ67yo,Rock,Spoken,Pop
1973,25,Wildflower,Skylark,https://www.youtube.com/watch?v=JYXVKqwHxuE,Spoken,Pop,Rock
1973,26,Superstition,Stevie Wonder,https://www.youtube.com/watch?v=97hwNY3ni10,Rock,Pop,Instrumental
1973,27,Loves Me Like a Rock,Paul Simon,https://www.youtube.com/watch?v=CjFzw8AxSBA,Rock,Pop,Folk
1973,28,The Morning After,Maureen McGovern,https://www.youtube.com/watch?v=45CkDKnLCHM,Pop,Folk,Rock
1973,29,Rocky Mountain High,John Denver,https://www.youtube.com/watch?v=eWtJusRqoug,Rock,Folk,Pop
1973,30,Stuck in the Middle with You,Stealers Wheel,https://www.youtube.com/watch?v=ln7Vn_WKkWU,Rock,Pop,Folk
1973,31,Shambala,Three Dog Night,https://www.youtube.com/watch?v=LFbxd-rzv_4,Rock,Folk,Pop
1973,32,Love Train,The O'Jays,https://www.youtube.com/watch?v=SsYOAIR4L_w,Rock,Pop,Instrumental
